FSUNEMP,FSNK5T17,LIQRESOR,FSSLTDE2,FSSLTDED,FSOTHUN,FSGRINC,FSUSIZE,FSTOTDE2,FSSTDDE2,FSNONCIT,RAWERND,FSTOTDED,REALPROP,FSERNDED,FSERNDE2,FSNELDER,FSNDISCA,FSWAGES,FSWCOMP,FSSLTEXP,CERTHHSZ,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,3.0,0.0,0.0,0.0,0.0,993.0,4.0,139.0,139.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,4.0,1.0,0.0,1.0
0.0,0.0,0.0,97.0,183.0,0.0,231.0,1.0,231.0,115.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,1.0,1.0,0.0,1.0
0.0,4.0,11.0,328.0,417.0,300.0,537.0,5.0,537.0,153.0,0.0,47.0,626.0,0.0,47.0,0.0,0.0,0.0,237.0,0.0,582.0,5.0,0.0,0.0,1.0
0.0,0.0,0.0,152.0,152.0,0.0,1144.0,2.0,286.0,201.0,0.0,0.0,286.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,657.0,2.0,0.0,0.0,1.0
0.0,2.0,0.0,0.0,0.0,0.0,1066.0,4.0,352.0,139.0,0.0,213.0,352.0,0.0,213.0,213.0,0.0,0.0,1066.0,0.0,232.0,4.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,1246.0,2.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,376.0,2.0,1.0,0.0,1.0
0.0,1.0,0.0,350.0,350.0,0.0,603.0,4.0,489.0,209.0,0.0,0.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,387.0,387.0,0.0,903.0,1.0,701.0,201.0,0.0,181.0,701.0,0.0,180.0,270.0,0.0,1.0,903.0,0.0,682.0,1.0,0.0,0.0,1.0
0.0,0.0,26.0,0.0,0.0,0.0,310.0,2.0,134.0,134.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,417.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,995.0,2.0,0.0,0.0,1.0
0.0,3.0,9.0,21.0,21.0,0.0,1513.0,5.0,312.0,183.0,0.0,130.0,312.0,0.0,129.0,150.0,0.0,0.0,648.0,0.0,632.0,5.0,1.0,0.0,1.0
0.0,0.0,992.0,125.0,125.0,0.0,623.0,1.0,259.0,201.0,0.0,0.0,259.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,370.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,383.0,383.0,0.0,562.0,1.0,517.0,201.0,0.0,0.0,517.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,597.0,1.0,0.0,0.0,1.0
0.0,0.0,419.0,268.0,343.0,0.0,402.0,1.0,402.0,126.0,0.0,0.0,477.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,477.0,1.0,1.0,0.0,1.0
